competencia,cod_municipio,CNES,TP_GESTAO,CO_TIPO_UNIDADE,DS_TIPO_UNIDADE,NATUREZA_JURIDICA,DESC_NATUREZA_JURIDICA,leitos,leitos_sus,leitos_uti,leitos_uti_sus,UTI_ADULTO_EXIST,UTI_ADULTO_SUS,UTI_PEDIATRICO_EXIST,UTI_PEDIATRICO_SUS,UTI_NEONATAL_EXIST,UTI_NEONATAL_SUS,UTI_QUEIMADO_EXIST,UTI_QUEIMADO_SUS,UTI_CORONARIANA_EXIST,UTI_CORONARIANA_SUS,flag_inconsistencia
202510,220730,2324555,E,15,UNIDADE MISTA,1023,HOSPITAL_PÚBLICO,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,230260,2327945,M,05,HOSPITAL GERAL,3999,HOSPITAL_FILANTRÓPICO,86,85,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,230390,2327953,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,230670,2327961,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,230870,2327996,M,05,HOSPITAL GERAL,3069,HOSPITAL_FILANTRÓPICO,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,231180,2328003,M,05,HOSPITAL GERAL,3999,HOSPITAL_FILANTRÓPICO,105,105,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,230150,2328038,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,231330,2328046,M,05,HOSPITAL GERAL,3999,HOSPITAL_FILANTRÓPICO,181,173,10,10,10,10,0,0,0,0,0,0,0,0,0
202510,230393,2328070,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,230835,2328100,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,231300,2328119,M,05,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,231140,2328372,M,07,HOSPITAL ESPECIALIZADO,3999,HOSPITAL_FILANTRÓPICO,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0
